action,date,ticker,signal_date,option_price,stock_price,delta,delta_raw,signal_side,option_qty,stock_position,num_contracts,strike,expiry,dte,entry_cost,rank,prediction,target_weight,target_delta_exposure,per_contract_delta_exposure,exit_reason,days_held,bars_held,realized_pnl,exit_cost
exit,2018-02-02,MSFT,,3.7249999999999996,95.01,,,1,9,,9,,,,,,,,,,hpr_limit_exit,3.0,3.0,-97.8666379965,97.8666379965
enter,2018-02-16,KO,2018-02-15,0.835,44.98,0.511614,0.511614,1,1,-51.1614,1,45.0,2018-03-23,35.0,84.5,5.0,0.003417512,1.0,46878.272584135964,2301.239772,,,,,
exit,2018-02-21,KO,,0.6699999999999999,43.34,,,1,1,,1,,,,,,,,,,hpr_limit_exit,3.0,3.0,58.27342449999969,3.3725755
enter,2018-04-26,INTC,2018-04-25,2.27,53.05,0.509988,0.509988,1,1,-50.9988,1,53.0,2018-06-01,36.0,228.0,5.0,0.008420082,1.0,46881.63901433406,2705.48634,,,,,
exit,2018-04-30,INTC,,2.27,53.05,,,1,1,,1,,,,,,,,,,hpr_limit_exit,3.0,3.0,-6.89274317,6.89274317
enter,2018-05-15,HD,2018-05-14,4.375,187.98,0.527579,0.527579,1,1,-52.7579,1,187.5,2018-06-22,38.0,438.5,1.0,0.038461093,1.0,46881.63901433406,9917.430042,,,,,
exit,2018-05-17,HD,,3.2249999999999996,186.38,,,1,1,,1,,,,,,,,,,hpr_limit_exit,3.0,3.0,-53.82248923100029,11.694329230999998
enter,2018-06-19,ORCL,2018-06-18,1.4,46.27,0.497811,0.497811,1,3,-149.3433,3,46.5,2018-07-20,31.0,423.0,6.0,0.0083520375,1.0,46880.07603736056,2303.371497,,,,,
exit,2018-06-21,ORCL,,0.79,42.82,,,1,3,,3,,,,,,,,,,hpr_limit_exit,3.0,3.0,309.8231685120004,10.865791488
enter,2018-07-10,PEP,2018-07-09,1.9649999999999999,112.89,0.517135,0.517135,1,1,-51.7135,1,113.0,2018-08-10,31.0,197.5,2.0,0.012458539,1.0,46896.68417418231,5837.937015,,,,,
exit,2018-07-12,PEP,,1.7349999999999999,112.54,,,1,1,,1,,,,,,,,,,hpr_limit_exit,3.0,3.0,-13.205619383000277,7.202634383000001
enter,2018-07-18,IBM,2018-07-17,3.725,144.52,0.494691,0.494691,1,6,-296.8146,6,145.0,2018-08-17,30.0,2241.0,1.0,0.012562464,1.0,46896.43029621921,7149.274332,,,,,
exit,2018-07-20,IBM,,3.725,144.52,,,1,6,,6,,,,,,,,,,hpr_limit_exit,3.0,3.0,-72.147822996,72.147822996
enter,2018-07-24,T,2018-07-23,0.97,31.68,0.558271,0.558271,1,2,-111.65419999999999,2,31.5,2018-08-31,38.0,196.0,5.0,0.0054647448,1.0,46896.43029621921,1768.602528,,,,,
exit,2018-07-26,T,,0.645,30.35,,,1,2,,2,,,,,,,,,,hpr_limit_exit,3.0,3.0,59.66151226999985,6.071635730000001
enter,2018-07-31,PFE,2018-07-30,0.64,39.93,0.448323,0.448323,1,26,-1165.6398000000002,26,40.0,2018-09-21,52.0,1690.0,3.0,0.009962111,1.0,46900.59516468146,1790.153739,,,,,
exit,2018-08-02,PFE,,0.64,39.93,,,1,26,,26,,,,,,,,,,hpr_limit_exit,3.0,3.0,-82.551998607,82.551998607
enter,2018-08-07,DIS,2018-08-06,3.55,116.56,0.506021,0.506021,1,2,-101.20420000000001,2,117.0,2018-09-07,31.0,712.0,4.0,0.0058934684,1.0,46900.59516468146,5898.180776000001,,,,,
exit,2018-08-09,DIS,,2.6100000000000003,113.98,,,1,2,,2,,,,,,,,,,hpr_limit_exit,3.0,3.0,63.01926402599999,18.391043974000002
enter,2018-10-12,C,2018-10-11,2.1950000000000003,69.84,0.502026,0.502026,1,13,-652.6338,13,70.0,2018-11-16,35.0,2866.5000000000005,1.0,0.023780609,1.0,46904.24133565066,3506.149584,,,,,
exit,2018-10-16,C,,2.1950000000000003,69.84,,,1,13,,13,,,,,,,,,,hpr_limit_exit,3.0,3.0,-92.85997229600001,92.85997229600001
enter,2018-10-23,MCD,2018-10-22,3.675,177.15,0.505288,0.505288,1,1,-50.5288,1,177.5,2018-11-23,31.0,368.5,3.0,0.014527207,1.0,46904.24133565066,8951.17692,,,,,
exit,2018-10-25,MCD,,4.25,177.35,,,1,1,,1,,,,,,,,,,hpr_limit_exit,3.0,3.0,33.0646194525006,14.0878405475
