date,ticker,signal,pred_rank,y_pred,y_true,K,execution_date_note
2012-03-26,MSFT,-1,9,0.00043846667,-0.0021502082,3,execute_at_open_t+1
2012-03-27,CVX,1,1,0.0021910928,-0.010801777,3,execute_at_open_t+1
2012-03-27,BRK_B,1,2,0.0019643903,0.00024458847,3,execute_at_open_t+1
2012-03-27,GE,1,3,0.0019621346,-0.0014981276,3,execute_at_open_t+1
2012-03-27,WMT,-1,7,0.0013532024,0.0016355908,3,execute_at_open_t+1
2012-03-27,MSFT,-1,8,0.0011813454,-0.01019944,3,execute_at_open_t+1
2012-03-27,JNJ,-1,9,0.0006098021,0.003358269,3,execute_at_open_t+1
2012-03-28,CVX,1,1,0.002494203,0.009025162,3,execute_at_open_t+1
2012-03-28,XOM,1,2,0.0020133294,0.0025590337,3,execute_at_open_t+1
2012-03-28,GE,1,3,0.0018906798,-0.0030030052,3,execute_at_open_t+1
2012-03-28,WMT,-1,7,0.0011574943,-0.0060650953,3,execute_at_open_t+1
2012-03-28,JNJ,-1,8,0.00059915334,-0.0012198843,3,execute_at_open_t+1
2012-03-28,GOOGL,-1,9,0.00047214143,-0.011271656,3,execute_at_open_t+1
2012-03-29,GE,1,1,0.0021916442,0.0059970194,3,execute_at_open_t+1
2012-03-29,BRK_B,1,2,0.0020261835,-0.0024615398,3,execute_at_open_t+1
2012-03-29,GOOGL,1,3,0.0017736964,-0.01111941,3,execute_at_open_t+1
2012-03-29,WMT,-1,7,0.0015042257,0.0062285075,3,execute_at_open_t+1
2012-03-29,IBM,-1,8,0.0011260267,0.0018228922,3,execute_at_open_t+1
2012-03-29,JNJ,-1,9,0.0009528585,0.0063878545,3,execute_at_open_t+1
2012-03-30,GOOGL,1,1,0.002089236,0.008818838,3,execute_at_open_t+1
2012-03-30,BRK_B,1,2,0.0018824637,0.008466828,3,execute_at_open_t+1
2012-03-30,GE,1,3,0.001706887,-0.002494389,3,execute_at_open_t+1
2012-03-30,IBM,-1,7,0.0011760499,0.003922324,3,execute_at_open_t+1
2012-03-30,WMT,-1,8,0.00084249116,0.0026109675,3,execute_at_open_t+1
2012-03-30,JNJ,-1,9,0.00045911036,0.0037830113,3,execute_at_open_t+1
2012-04-02,GE,1,1,0.0019314699,-0.003001503,3,execute_at_open_t+1
2012-04-02,MSFT,1,2,0.0012366455,-0.010898442,3,execute_at_open_t+1
2012-04-02,BRK_B,1,3,0.0012288634,-0.0036724242,3,execute_at_open_t+1
2012-04-02,IBM,-1,7,0.0009694416,0.00014320834,3,execute_at_open_t+1
2012-04-02,WMT,-1,8,0.0008367989,-0.011638521,3,execute_at_open_t+1
2012-04-02,JNJ,-1,9,0.00072001666,-0.004996604,3,execute_at_open_t+1
2012-04-03,CVX,1,1,0.0021843314,-0.014478019,3,execute_at_open_t+1
2012-04-03,GE,1,2,0.0020625927,-0.011083237,3,execute_at_open_t+1
2012-04-03,XOM,1,3,0.002040349,-0.009952661,3,execute_at_open_t+1
2012-04-03,JNJ,-1,7,0.0012699366,-0.0074655637,3,execute_at_open_t+1
2012-04-03,WMT,-1,8,0.0010040831,-0.0064511015,3,execute_at_open_t+1
2012-04-03,IBM,-1,9,0.00091202,-0.016604882,3,execute_at_open_t+1
2012-04-04,CVX,1,1,0.002761405,-0.008081812,3,execute_at_open_t+1
2012-04-04,GE,1,2,0.002572799,-0.01274552,3,execute_at_open_t+1
2012-04-04,MSFT,1,3,0.0025506373,0.009883708,3,execute_at_open_t+1
2012-04-04,IBM,-1,7,0.0018393099,-0.0028188198,3,execute_at_open_t+1
2012-04-04,JNJ,-1,8,0.0016343296,-0.0007649354,3,execute_at_open_t+1
2012-04-04,WMT,-1,9,0.0008624643,0.0067808083,3,execute_at_open_t+1
2012-04-05,GE,1,1,0.002900986,-0.014991234,3,execute_at_open_t+1
2012-04-05,CVX,1,2,0.002563551,-0.012101569,3,execute_at_open_t+1
2012-04-05,BRK_B,1,3,0.0020537935,-0.014315301,3,execute_at_open_t+1
2012-04-05,JNJ,-1,7,0.0015330594,-0.0064486633,3,execute_at_open_t+1
2012-04-05,MSFT,-1,8,0.0009959918,-0.013414446,3,execute_at_open_t+1
2012-04-05,WMT,-1,9,0.00066553056,-0.008940457,3,execute_at_open_t+1
2012-04-09,GE,1,1,0.0032183677,-0.024250003,3,execute_at_open_t+1
2012-04-09,CVX,1,2,0.0028286073,-0.019908924,3,execute_at_open_t+1
2012-04-09,BRK_B,1,3,0.0026403274,-0.01337897,3,execute_at_open_t+1
2012-04-09,GOOGL,-1,7,0.0017433073,-0.0063290345,3,execute_at_open_t+1
2012-04-09,IBM,-1,8,0.0015599206,-0.012817225,3,execute_at_open_t+1
2012-04-09,WMT,-1,9,0.0013966709,-0.0033316705,3,execute_at_open_t+1
2012-04-10,GE,1,1,0.003608195,0.01430488,3,execute_at_open_t+1
2012-04-10,CVX,1,2,0.0029030573,-0.0049407217,3,execute_at_open_t+1
2012-04-10,XOM,1,3,0.0027801394,0.00642933,3,execute_at_open_t+1
2012-04-10,GOOGL,-1,7,0.0017530322,0.0144124385,3,execute_at_open_t+1
2012-04-10,JNJ,-1,8,0.0017225444,-0.0010909375,3,execute_at_open_t+1
2012-04-10,WMT,-1,9,0.0010556113,-0.0021715534,3,execute_at_open_t+1
2012-04-11,CVX,1,1,0.0022092685,0.016115118,3,execute_at_open_t+1
2012-04-11,MSFT,1,2,0.0020644516,0.020548668,3,execute_at_open_t+1
2012-04-11,BRK_B,1,3,0.0018571895,0.01269579,3,execute_at_open_t+1
2012-04-11,JNJ,-1,7,0.0013785679,0.0003118179,3,execute_at_open_t+1
2012-04-11,WMT,-1,8,0.0011685695,0.0056695165,3,execute_at_open_t+1
2012-04-11,GOOGL,-1,9,0.0006684307,0.023389336,3,execute_at_open_t+1
2012-04-12,GE,1,1,0.001039803,-0.022001935,3,execute_at_open_t+1
2012-04-12,BRK_B,1,2,0.000975471,-0.015609582,3,execute_at_open_t+1
2012-04-12,CVX,1,3,0.00092488155,-0.01780054,3,execute_at_open_t+1
2012-04-12,IBM,-1,7,0.0006875973,-0.012349466,3,execute_at_open_t+1
2012-04-12,MSFT,-1,8,0.00047082826,-0.005341115,3,execute_at_open_t+1
2012-04-12,GOOGL,-1,9,-0.0017805584,-0.041413557,3,execute_at_open_t+1
2012-04-13,GE,1,1,0.002713425,0.0010587614,3,execute_at_open_t+1
2012-04-13,CVX,1,2,0.0023115128,0.0072173923,3,execute_at_open_t+1
2012-04-13,BRK_B,1,3,0.002138162,0.010726332,3,execute_at_open_t+1
2012-04-13,WMT,-1,7,0.001412753,0.013460943,3,execute_at_open_t+1
2012-04-13,MSFT,-1,8,0.0013082884,0.008564325,3,execute_at_open_t+1
2012-04-13,GOOGL,-1,9,0.0005185716,-0.030115955,3,execute_at_open_t+1
2012-04-16,GOOGL,1,1,0.002505552,0.0057582995,3,execute_at_open_t+1
2012-04-16,GE,1,2,0.0021878257,0.023013568,3,execute_at_open_t+1
2012-04-16,CVX,1,3,0.0015091375,0.020573046,3,execute_at_open_t+1
2012-04-16,JNJ,-1,7,0.0006966572,0.0037441542,3,execute_at_open_t+1
2012-04-16,XOM,-1,8,0.0006046556,0.01699557,3,execute_at_open_t+1
